"section","qa","answer"
"General Commands","status","Provides the status of HBase, for example, the number of servers."
"General Commands","sversion","Provides the version of HBase being used."
"General Commands","stable_help","Provides help for table-reference commands."
"General Commands","swhoami","Provides information about the user."
"Data Definition Language","create","Creates a table."
"Data Definition Language","list","Lists all the tables in HBase."
"Data Definition Language","disable","Disables a table."
"Data Definition Language","is_disabled","Verifies whether a table is disabled."
"Data Definition Language","enable","Enables a table."
"Data Definition Language","is_enabled","Verifies whether a table is enabled."
"Data Definition Language","describe","Provides the description of a table."
"Data Definition Language","alter","Alters a table."
"Data Definition Language","exists","Verifies whether a table exists."
"Data Definition Language","drop","Drops a table from HBase."
"Data Definition Language","drop_all","Drops the tables matching the ‘regex’ given in the command."
"Data Manipulation Language","put","Puts a cell value at a specified column in a specified row in a particular table."
"Data Manipulation Language","get","Fetches the contents of row or a cell."
"Data Manipulation Language","delete","Deletes a cell value in a table."
"Data Manipulation Language","deleteall","Deletes all the cells in a given row."
"Data Manipulation Language","scan","Scans and returns the table data."
"Data Manipulation Language","count","Counts and returns the number of rows in a table."
"Data Manipulation Language","truncate","Disables, drops, and recreates a specified table."
